city_name,census_block,crime_counts
Austin,484530008041018,17
Austin,484530008041020,2
Austin,484530008041021,1
Austin,484530008041022,3
Austin,484530008041023,3
Austin,484530008041024,4
Austin,484530008041025,1
Austin,484530008041026,3
Austin,484530008042000,6
Austin,484530008042001,10
Austin,484530008042004,5
Austin,484530008042006,4
Austin,484530008042007,1
Austin,484530008042009,7
Austin,484530008042010,2
Austin,484530008042011,3
Austin,484530008042012,6
Austin,484530008042013,1
Austin,484530008042014,10
Austin,484530008042015,1
Austin,484530008042016,7
Austin,484530008042017,5
Austin,484530008042018,6
Austin,484530008042019,1
Austin,484530008042020,6
Austin,484530008042021,5
Austin,484530008042022,4
Austin,484530008042023,3
Austin,484530008042025,4
Austin,484530008042026,1
Austin,484530008042027,1
Austin,484530008042028,1
Austin,484530008042029,1
Austin,484530008042030,5
Austin,484530008042031,6
Austin,484530008042032,13
Austin,484530008042033,1
Austin,484530008042034,1
Austin,484530008042035,1
Austin,484530008042036,18
Austin,484530009011003,1
Austin,484530009011004,8
Austin,484530009011005,5
Austin,484530009011006,3
Austin,484530009011007,1
Austin,484530009011008,7
Austin,484530009011011,1
Austin,484530009011012,1
Austin,484530009011013,2
Austin,484530009011015,1
Austin,484530009011016,4
Austin,484530009011017,2
Austin,484530009011018,3
Austin,484530009011019,5
Austin,484530009011020,3
Austin,484530009011022,6
Austin,484530009012000,2
Austin,484530009012001,13
Austin,484530009012002,1
Austin,484530009012003,1
Austin,484530009012004,9
Austin,484530009012005,3
Austin,484530009012006,1
Austin,484530009012007,6
Austin,484530009012008,2
Austin,484530009012010,12
Austin,484530009012012,10
Austin,484530009012013,16
Austin,484530009012015,4
Austin,484530009012016,5
Austin,484530009012017,2
Austin,484530009012018,2
Austin,484530009012019,1
Austin,484530009012020,2
Austin,484530009012021,2
Austin,484530009012022,9
Austin,484530009012023,7
Austin,484530009012024,4
Austin,484530009012025,1
Austin,484530009012026,3
Austin,484530009012027,1
Austin,484530009012028,6
Austin,484530009012030,1
Austin,484530009021001,8
Austin,484530009021003,3
Austin,484530009021004,13
Austin,484530009021005,6
Austin,484530009021006,8
Austin,484530009021007,8
Austin,484530009021009,12
Austin,484530009021010,1
Austin,484530009021011,4
Austin,484530009021012,18
Austin,484530009021013,3
Austin,484530009021015,14
Austin,484530009021016,2
Austin,484530009021017,3
Austin,484530009021018,2
Austin,484530009021019,5
Austin,484530009021020,4
Austin,484530009021021,1
Austin,484530009021023,2
Austin,484530009021024,4
Austin,484530009021025,11
Austin,484530009022000,3
Austin,484530009022002,8
Austin,484530009022003,4
Austin,484530009022004,20
Austin,484530009022005,18
Austin,484530009022006,3
Austin,484530009022009,2
Austin,484530009022010,2
Austin,484530009022012,3
Austin,484530009022014,12
Austin,484530009022015,5
Austin,484530009022016,11
Austin,484530009022017,1
Austin,484530009022018,2
Austin,484530009022020,1
Austin,484530009022021,2
Austin,484530009022022,2
Austin,484530009022023,8
Austin,484530009022024,7
Austin,484530009022025,6
Austin,484530009022026,13
Austin,484530009022027,3
Austin,484530009022028,15
Austin,484530009022030,5
Austin,484530009022031,4
Austin,484530009022032,8
Austin,484530009022033,20
Austin,484530009022034,1
Austin,484530009022035,7
Austin,484530009022036,7
Austin,484530009022037,8
Austin,484530009022038,19
Austin,484530009023000,12
Austin,484530009023001,10
Austin,484530009023002,6
Austin,484530009023003,7
Austin,484530009023004,5
Austin,484530009023005,8
Austin,484530009023006,5
Austin,484530009023007,3
Austin,484530009023008,6
Austin,484530009023009,10
Austin,484530009023010,4
Austin,484530009023011,5
Austin,484530009023012,8
Austin,484530009023013,2
Austin,484530009023015,4
Austin,484530009023016,1
Austin,484530009023017,1
Austin,484530009023018,14
Austin,484530009023019,7
Austin,484530009023020,9
Austin,484530009023021,6
Austin,484530009023022,5
Austin,484530009023023,9
Austin,484530009023024,3
Austin,484530009023025,5
Austin,484530009023027,1
Austin,484530009023028,13
